date,blockno,variety,stems
7/1/2022,MU05,Magical Triumph,29000
7/2/2022,MU05,Magical Triumph,10000
7/2/2022,AF04,Magical Triumph,6000
7/4/2022,MU05,Magical Triumph,23100
7/5/2022,MU05,Magical Triumph,17900
7/7/2022,MU05,Magical Triumph,27000
7/8/2022,MU05,Magical Triumph,19900
7/8/2022,MU06,Magical Triumph,7200
7/9/2022,MU05,Magical Triumph,9900
7/9/2022,MU06,Magical Triumph,7600
7/12/2022,MU06,Magical Triumph,22900
7/12/2022,MU05,Magical Triumph,8600
7/13/2022,MU06,Magical Triumph,5500
7/13/2022,MU05,Magical Triumph,2900
7/14/2022,MU05,Magical Triumph,17000
7/15/2022,MU06,Magical Triumph,8000
7/18/2022,MU06,Magical Triumph,2200
7/19/2022,MU06,Magical Triumph,11400
7/20/2022,MU06,Magical Triumph,10000
7/21/2022,MU06,Magical Triumph,15100
7/22/2022,L09,Magical Triumph,5500
7/23/2022,L09,Magical Triumph,1100
7/25/2022,L09,Magical Triumph,20000
7/25/2022,MU06,Magical Triumph,20000
7/26/2022,L09,Magical Triumph,30000
7/27/2022,L09,Magical Triumph,18300
7/27/2022,MU06,Magical Triumph,4800
7/28/2022,L09,Magical Triumph,30000
7/29/2022,MU06,Magical Triumph,30000
7/30/2022,L09,Magical Triumph,24500
8/1/2022,L09,Magical Triumph,20800
8/1/2022,AB06,Magical Triumph,19200
8/2/2022,AB06,Magical Triumph,40000
8/3/2022,AB06,Magical Triumph,23000
8/4/2022,AB06,Magical Triumph,19000
8/5/2022,AB06,Magical Triumph,28000
8/8/2022,AB06,Magical Triumph,12000
8/8/2022,AB07,Magical Triumph,16000
8/10/2022,AB07,Magical Triumph,13100
8/10/2022,AB06,Magical Triumph,11100
8/11/2022,AB07,Magical Triumph,1200
8/12/2022,AB07,Magical Triumph,43600
8/13/2022,AB07,Magical Triumph,30000
8/15/2022,AB07,Magical Triumph,22000
8/16/2022,AB07,Magical Triumph,31000
8/17/2022,K10,Magical Triumph,11000
8/17/2022,AB07,Magical Triumph,13000
8/18/2022,K10,Magical Triumph,30000
8/19/2022,K11,Magical Triumph,15400
8/19/2022,K10,Magical Triumph,35200
8/22/2022,K11,Magical Triumph,40000
8/23/2022,K11,Magical Triumph,20000
8/23/2022,K12,Magical Triumph,10000
8/24/2022,K12,Magical Triumph,25000
8/25/2022,K12,Magical Triumph,36700
8/25/2022,K13,Magical Triumph,54300
8/25/2022,K14,Magical Triumph,6000
8/26/2022,K14,Magical Triumph,35000
8/27/2022,L04,Magical Triumph,20000
8/29/2022,L04,Magical Triumph,53400
8/30/2022,L04,Magical Triumph,47800
8/31/2022,L04,Magical Triumph,53700
9/1/2022,L04,Magical Triumph,65400
9/2/2022,L04,Magical Triumph,28900
9/3/2022,MU01,Magical Triumph,36000
9/5/2022,MU01,Magical Triumph,48000
9/6/2022,MU01,Magical Triumph,66000
9/7/2022,MU01,Magical Triumph,61300
9/8/2022,MU01,Magical Triumph,46700
9/8/2022,MU02,Magical Triumph,20000
9/9/2022,MU02,Magical Triumph,47400
9/10/2022,MU02,Magical Triumph,66000
9/12/2022,MU02,Magical Triumph,66600
9/13/2022,MU02,Magical Triumph,39000
9/13/2022,MU03,Magical Triumph,9000
9/14/2022,L01,Magical Triumph,40000
9/15/2022,L01,Magical Triumph,46200
9/16/2022,L01,Magical Triumph,25200
9/16/2022,L02,Magical Triumph,64800
9/17/2022,L02,Magical Triumph,56000
9/17/2022,K06,Magical Triumph,20000
9/19/2022,L02,Magical Triumph,44600
9/19/2022,L05,Magical Triumph,16900
9/19/2022,AB01,Magical Triumph,40000
9/20/2022,K05,Magical Triumph,116000
9/21/2022,K05,Magical Triumph,13100
9/21/2022,K06,Magical Triumph,78100
9/21/2022,AB01,Magical Triumph,10000
9/21/2022,K03,Magical Triumph,20000
9/22/2022,AB01,Magical Triumph,54900
9/22/2022,AB02,Magical Triumph,39000
9/23/2022,K03,Magical Triumph,14900
9/23/2022,AB02,Magical Triumph,90500
9/24/2022,K03,Magical Triumph,90600
9/26/2022,AB02,Magical Triumph,1900
9/26/2022,K03,Magical Triumph,6500
9/26/2022,L03,Magical Triumph,60000
9/26/2022,L05,Magical Triumph,26700
9/27/2022,L05,Magical Triumph,66000
9/27/2022,L06,Magical Triumph,46800
9/28/2022,L06,Magical Triumph,72400
9/29/2022,L07,Magical Triumph,84600
9/30/2022,L06,Magical Triumph,600
9/30/2022,L07,Magical Triumph,50000
10/1/2022,L07,Magical Triumph,25300
10/3/2022,MU03,Magical Triumph,71700
10/4/2022,MU03,Magical Triumph,68700
10/5/2022,MU03,Magical Triumph,46900
10/5/2022,AF01,Magical Triumph,10000
10/6/2022,AF01,Magical Triumph,60500
10/7/2022,AF01,Magical Triumph,5700
10/7/2022,AF02,Magical Triumph,34300
10/7/2022,S01,Magical Triumph,24200
10/8/2022,S01,Magical Triumph,94400
10/8/2022,S03,Magical Triumph,900
10/11/2022,S04,Magical Triumph,92500
10/12/2022,AF03,Magical Triumph,5000
10/12/2022,AF02,Magical Triumph,2200
10/12/2022,AF01,Magical Triumph,1300
10/12/2022,S04,Magical Triumph,49400
10/12/2022,S03,Magical Triumph,10800
10/13/2022,AF01,Magical Triumph,2800
10/13/2022,S03,Magical Triumph,74300
10/14/2022,S01,Magical Triumph,11800
10/14/2022,S03,Magical Triumph,47700
10/15/2022,S01,Magical Triumph,29300
10/17/2022,S02,Magical Triumph,13900
10/17/2022,L03,Magical Triumph,50000
10/18/2022,L03,Magical Triumph,48300
10/19/2022,AB05,Magical Triumph,57200
10/19/2022,S04,Magical Triumph,6700
10/19/2022,S03,Magical Triumph,2000
10/21/2022,S03,Magical Triumph,2500
10/21/2022,AB05,Magical Triumph,61000
10/22/2022,AB05,Magical Triumph,53000
10/24/2022,L03,Magical Triumph,18100
10/24/2022,AB05,Magical Triumph,11900
10/24/2022,S02,Magical Triumph,48900
10/25/2022,S02,Magical Triumph,50000
10/26/2022,AD05,Magical Triumph,47000
10/26/2022,AB05,Magical Triumph,7500
10/26/2022,S02,Magical Triumph,4400
10/27/2022,AD05,Magical Triumph,65300
10/28/2022,MU04,Magical Triumph,45000
10/29/2022,MU04,Magical Triumph,40000
10/31/2022,MU04,Magical Triumph,30000
10/31/2022,AF02,Magical Triumph,30000
11/1/2022,AF03,Magical Triumph,10000
11/1/2022,AF02,Magical Triumph,30000
11/1/2022,AD05,Magical Triumph,9100
11/2/2022,MU04,Magical Triumph,10000
11/2/2022,AF03,Magical Triumph,50000
11/3/2022,MU04,Magical Triumph,50000
11/4/2022,MU04,Magical Triumph,8000
11/4/2022,AF04,Magical Triumph,20000
11/4/2022,AF03,Magical Triumph,15400
11/5/2022,AF04,Magical Triumph,30000
11/7/2022,AB04,Magical Triumph,1500
11/7/2022,AF04,Magical Triumph,60000
11/8/2022,AF04,Magical Triumph,12500
11/8/2022,AD04,Magical Triumph,52300
11/9/2022,MU04,Magical Triumph,14800
11/9/2022,AF04,Magical Triumph,15200
11/9/2022,AD04,Magical Triumph,40000
11/10/2022,AD04,Magical Triumph,2100
11/10/2022,AF04,Magical Triumph,1400
11/10/2022,AF03,Magical Triumph,3900
11/10/2022,AD03,Magical Triumph,47500
11/11/2022,AD03,Magical Triumph,36000
11/11/2022,L10,Magical Triumph,10000
11/12/2022,L10,Magical Triumph,24400
11/12/2022,L11,Magical Triumph,21600
11/14/2022,L11,Magical Triumph,51500
11/14/2022,MU05,Magical Triumph,10000
11/14/2022,AD04,Magical Triumph,2800
11/15/2022,AD03,Magical Triumph,3000
11/15/2022,L11,Magical Triumph,56000
11/16/2022,L11,Magical Triumph,19000
11/16/2022,MU05,Magical Triumph,34400
11/17/2022,MU05,Magical Triumph,50300
11/18/2022,MU05,Magical Triumph,40000
11/19/2022,MU05,Magical Triumph,50000
11/21/2022,MU05,Magical Triumph,6300
11/21/2022,MU06,Magical Triumph,15700
11/21/2022,K15,Magical Triumph,32500
11/21/2022,L10,Magical Triumph,6100
11/22/2022,L11,Magical Triumph,7000
11/22/2022,MU06,Magical Triumph,9600
11/22/2022,K15,Magical Triumph,11500
11/23/2022,K15,Magical Triumph,7100
11/23/2022,K16,Magical Triumph,16500
11/23/2022,L11,Magical Triumph,10500
11/23/2022,MU06,Magical Triumph,12000
11/24/2022,L11,Magical Triumph,800
11/24/2022,K16,Magical Triumph,37000
11/24/2022,K17,Magical Triumph,3000
11/25/2022,K16,Magical Triumph,5500
11/25/2022,K17,Magical Triumph,35200
11/26/2022,K17,Magical Triumph,22000
11/26/2022,K18,Magical Triumph,30000
11/28/2022,k18,Magical Triumph,19500
11/28/2022,MU05,Magical Triumph,10000
11/28/2022,MU06,Magical Triumph,70000
11/29/2022,MU06,Magical Triumph,13000
11/29/2022,AB03,Magical Triumph,72100
11/30/2022,AB03,Magical Triumph,58300
11/30/2022,AB04,Magical Triumph,34500
12/1/2022,AB04,Magical Triumph,66900
12/1/2022,L08,Magical Triumph,40000
12/2/2022,K15,Magical Triumph,4900
12/2/2022,L08,Magical Triumph,67700
12/3/2022,K09,Magical Triumph,63600
12/5/2022,L08,Magical Triumph,14200
12/5/2022,K09,Magical Triumph,14500
12/5/2022,L09,Magical Triumph,93300
12/5/2022,AB03,Magical Triumph,2400
12/6/2022,L09,Magical Triumph,95200
12/6/2022,AB03,Magical Triumph,1000
12/6/2022,AB06,Magical Triumph,63500
12/7/2022,K09,Magical Triumph,25500
12/7/2022,AD02,Magical Triumph,50000
12/7/2022,AD01,Magical Triumph,32000
12/7/2022,AB04,Magical Triumph,2900
12/8/2022,AD01,Magical Triumph,23200
12/8/2022,AB06,Magical Triumph,103600
12/8/2022,AB07,Magical Triumph,10500
12/8/2022,L08,Magical Triumph,7200
12/9/2022,AB07,Magical Triumph,86000
12/10/2022,K10,Magical Triumph,74000
12/10/2022,K11,Magical Triumph,61900
12/10/2022,K12,Magical Triumph,13100
12/10/2022,AB07,Magical Triumph,12300
12/11/2022,AB07,Magical Triumph,26000
12/11/2022,K12,Magical Triumph,38200
12/11/2022,K14,Magical Triumph,34800
12/11/2022,K13,Magical Triumph,27000
12/12/2022,AB06,Magical Triumph,5600
12/13/2022,AB07,Magical Triumph,22900
12/13/2022,AD01,Magical Triumph,10000
12/13/2022,AD02,Magical Triumph,27100
12/13/2022,K11,Magical Triumph,10000
12/13/2022,K12,Magical Triumph,25000
12/13/2022,K13,Magical Triumph,1600
12/13/2022,K14,Magical Triumph,13600
12/14/2022,K10,Magical Triumph,10000
12/14/2022,AD01,Magical Triumph,12600
12/14/2022,L04,Magical Triumph,10000
12/15/2022,L09,Magical Triumph,3200
12/15/2022,K09,Magical Triumph,5400
12/15/2022,L04,Magical Triumph,54800
12/16/2022,MU01,Magical Triumph,53100
12/16/2022,L04,Magical Triumph,9700
12/17/2022,MU01,Magical Triumph,47000
12/17/2022,K12,Magical Triumph,10000
12/17/2022,K13,Magical Triumph,16900
12/19/2022,L04,Magical Triumph,30000
12/19/2022,K14,Magical Triumph,13000
12/19/2022,K13,Magical Triumph,5900
12/19/2022,K12,Magical Triumph,2300
12/19/2022,AD01,Magical Triumph,2000
12/20/2022,L04,Magical Triumph,25000
12/20/2022,AD01,Magical Triumph,9400
12/20/2022,AD02,Magical Triumph,9800
12/22/2022,AB07,Magical Triumph,10800
12/22/2022,AD02,Magical Triumph,700
12/23/2022,L04,Magical Triumph,10000
12/24/2022,K10,Magical Triumph,1800
12/24/2022,K11,Magical Triumph,4000
12/24/2022,K12,Magical Triumph,8200
12/24/2022,K13,Magical Triumph,4400
12/24/2022,K14,Magical Triumph,3800
12/28/2022,MU01,Magical Triumph,31500
12/29/2022,MU01,Magical Triumph,46000
12/30/2022,MU01,Magical Triumph,50000
12/31/2022,L04,Magical Triumph,16000
1/3/2023,L04,Magical Triumph,42910
1/4/2023,MU01,Magical Triumph,15600
1/4/2023,L04,Magical Triumph,30130
1/5/2023,MU02,Magical Triumph,40000
1/5/2023,L04,Magical Triumph,13500
1/6/2023,MU02,Magical Triumph,16000
1/7/2023,MU02,Magical Triumph,60000
1/9/2023,MU02,Magical Triumph,32000
1/10/2023,L01,Magical Triumph,23200
1/10/2023,MU02,Magical Triumph,30000
1/11/2023,L01,Magical Triumph,22600
1/11/2023,MU02,Magical Triumph,5400
1/12/2023,L02,Magical Triumph,3000
1/12/2023,L01,Magical Triumph,25600
1/13/2023,MU02,Magical Triumph,10200
1/13/2023,L01,Magical Triumph,30000
1/14/2023,L01,Magical Triumph,7000
1/16/2023,L01,Magical Triumph,6100
1/16/2023,L02,Magical Triumph,40000
1/16/2023,L05,Magical Triumph,4400
1/17/2023,L02,Magical Triumph,40300
1/17/2023,MU02,Magical Triumph,9800
1/18/2023,L02,Magical Triumph,47000
1/18/2023,MU02,Magical Triumph,2500
1/19/2023,L02,Magical Triumph,38300
1/19/2023,L01,Magical Triumph,7000
1/19/2023,K05,Magical Triumph,6800
1/20/2023,K05,Magical Triumph,48200
1/21/2023,K05,Magical Triumph,41500
1/23/2023,k05,Magical Triumph,45500
1/23/2023,K06,Magical Triumph,2500
1/24/2023,K06,Magical Triumph,50000
1/24/2023,AB01,Magical Triumph,20000
1/25/2023,AB01,Magical Triumph,30000
1/25/2023,K06,Magical Triumph,20000
1/25/2023,K03,Magical Triumph,18500
1/26/2023,K06,Magical Triumph,22200
1/26/2023,K03,Magical Triumph,33000
1/26/2023,AB01,Magical Triumph,20000
1/27/2023,AB01,Magical Triumph,42600
1/27/2023,K03,Magical Triumph,30000
1/28/2023,K03,Magical Triumph,70000
1/30/2023,K06,Magical Triumph,19000
1/30/2023,K05,Magical Triumph,900
1/30/2023,L05,Magical Triumph,46800
1/31/2023,L05,Magical Triumph,69800
1/31/2023,L06,Magical Triumph,3300
2/1/2023,MU03,Magical Triumph,10000
2/1/2023,K03,Magical Triumph,1800
2/1/2023,L06,Magical Triumph,70000
2/1/2023,L05,Magical Triumph,2900
2/2/2023,MU03,Magical Triumph,23000
2/2/2023,L06,Magical Triumph,20000
2/3/2023,MU03,Magical Triumph,60000
2/4/2023,MU03,Magical Triumph,80000
2/6/2023,MU03,Magical Triumph,45600
2/6/2023,S01,Magical Triumph,29000
2/7/2023,S01,Magical Triumph,80000
2/7/2023,MU03,Magical Triumph,500
2/8/2023,S01,Magical Triumph,23100
2/8/2023,AF01,Magical Triumph,10700
2/8/2023,AF02,Magical Triumph,19800
2/8/2023,MU03,Magical Triumph,4600
2/9/2023,AF01,Magical Triumph,13600
2/9/2023,AF02,Magical Triumph,22700
2/10/2023,AF01,Magical Triumph,17000
2/13/2023,AF01,Magical Triumph,81100
2/14/2023,AF01,Magical Triumph,13700
2/14/2023,K04,Magical Triumph,32100
2/14/2023,S03,Magical Triumph,6800
2/15/2023,K04,Magical Triumph,39600
2/15/2023,AF02,Magical Triumph,3800
2/15/2023,S03,Magical Triumph,44500
2/16/2023,S03,Magical Triumph,37800
2/16/2023,S02,Magical Triumph,5000
2/17/2023,AB05,Magical Triumph,47400
2/17/2023,AF01,Magical Triumph,5100
2/18/2023,S04,Magical Triumph,6000
2/20/2023,AB05,Magical Triumph,82600
2/21/2023,AB05,Magical Triumph,19900
2/21/2023,S04,Magical Triumph,65000
2/22/2023,S04,Magical Triumph,21900
2/22/2023,L03,Magical Triumph,56700
2/23/2023,L03,Magical Triumph,52700
2/23/2023,AD05,Magical Triumph,25000
2/24/2023,L03,Magical Triumph,39000
2/24/2023,AB05,Magical Triumph,4100
2/25/2023,L03,Magical Triumph,23000
2/27/2023,L03,Magical Triumph,37300
2/27/2023,S03,Magical Triumph,43300
2/27/2023,S04,Magical Triumph,6400
2/28/2023,S02,Magical Triumph,47100
2/28/2023,S03,Magical Triumph,2200
2/28/2023,S04,Magical Triumph,22600
3/1/2023,S02,Magical Triumph,30200
3/1/2023,AD05,Magical Triumph,20000
3/1/2023,MU04,Magical Triumph,10000
3/2/2023,AD05,Magical Triumph,40800
3/2/2023,S02,Magical Triumph,9000
3/2/2023,AB05,Magical Triumph,5000
3/3/2023,AD05,Magical Triumph,29500
3/3/2023,S02,Magical Triumph,40000
3/4/2023,AD05,Magical Triumph,15800
3/4/2023,MU04,Magical Triumph,60000
3/6/2023,AB05,Magical Triumph,7700
3/6/2023,L03,Magical Triumph,2600
3/6/2023,S02,Magical Triumph,5200
3/6/2023,MU04,Magical Triumph,57000
3/7/2023,MU04,Magical Triumph,44800
3/7/2023,AD05,Magical Triumph,10000
3/7/2023,AD04,Magical Triumph,10000
3/8/2023,AD04,Magical Triumph,26700
3/8/2023,AF04,Magical Triumph,30000
3/9/2023,AD04,Magical Triumph,27600
3/9/2023,AD05,Magical Triumph,2200
3/10/2023,AF04,Magical Triumph,40000
3/11/2023,AF04,Magical Triumph,33000
3/13/2023,AD04,Magical Triumph,49000
3/14/2023,AD04,Magical Triumph,39100
3/14/2023,AD03,Magical Triumph,30000
3/15/2023,AD03,Magical Triumph,35000
3/16/2023,AD03,Magical Triumph,34000
3/17/2023,AD03,Magical Triumph,25000
3/17/2023,AF04,Magical Triumph,8300
3/18/2023,L10,Magical Triumph,25700
3/20/2023,AF04,Magical Triumph,2000
3/20/2023,AD03,Magical Triumph,43900
3/20/2023,L11,Magical Triumph,10000
3/21/2023,L11,Magical Triumph,30000
3/21/2023,L10,Magical Triumph,15200
3/21/2023,AD03,Magical Triumph,6900
3/22/2023,L10,Magical Triumph,4400
3/22/2023,L11,Magical Triumph,43600
3/23/2023,L11,Magical Triumph,34900
3/24/2023,L11,Magical Triumph,10000
3/27/2023,L11,Magical Triumph,27300
3/27/2023,L10,Magical Triumph,7400
3/27/2023,MU06,Magical Triumph,4500
3/28/2023,MU05,Magical Triumph,31300
3/29/2023,MU05,Magical Triumph,40000
3/31/2023,MU05,Magical Triumph,39200
3/31/2023,AD02,Magical Triumph,2500
3/31/2023,AD01,Magical Triumph,2200
4/1/2023,MU06,Magical Triumph,30000
4/3/2023,MU06,Magical Triumph,4500
4/3/2023,AB03,Magical Triumph,60000
4/4/2023,AB03,Magical Triumph,28700
4/5/2023,AB03,Magical Triumph,20000
4/5/2023,AB04,Magical Triumph,18000
4/6/2023,AB04,Magical Triumph,36000
4/8/2023,AB04,Magical Triumph,20000
4/11/2023,K09,Magical Triumph,30000
4/12/2023,K09,Magical Triumph,27900
4/12/2023,AB04,Magical Triumph,2300
4/12/2023,AB06,Magical Triumph,13000
4/13/2023,AB06,Magical Triumph,15000
4/14/2023,AB06,Magical Triumph,40000
4/14/2023,AB07,Magical Triumph,500
4/14/2023,K09,Magical Triumph,20000
4/15/2023,K09,Magical Triumph,10000
4/15/2023,AB07,Magical Triumph,10000
4/17/2023,AB06,Magical Triumph,30000
4/17/2023,AB07,Magical Triumph,15200
4/18/2023,AB06,Magical Triumph,30000
4/18/2023,AB07,Magical Triumph,17200
4/19/2023,AB06,Magical Triumph,3800
4/19/2023,MU01,Magical Triumph,17000
4/19/2023,AD01,Magical Triumph,9100
4/19/2023,AB07,Magical Triumph,38500
4/20/2023,MU01,Magical Triumph,39829
4/20/2023,AD01,Magical Triumph,15000
4/22/2023,MU01,Magical Triumph,36100
